Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-02-16 00:00:00-05:00,13897.75,13900.5,13872.25,13884.25,0,0.0,0.0
2021-02-16 01:00:00-05:00,13884.0,13889.0,13877.75,13882.5,2195,0.0,0.0
2021-02-16 02:00:00-05:00,13883.25,13886.0,13860.5,13866.75,4040,0.0,0.0
2021-02-16 03:00:00-05:00,13866.75,13870.0,13854.5,13864.25,5632,0.0,0.0
2021-02-16 04:00:00-05:00,13864.0,13865.5,13846.0,13861.0,5129,0.0,0.0
2021-02-16 05:00:00-05:00,13861.0,13872.0,13858.25,13869.5,3405,0.0,0.0
2021-02-16 06:00:00-05:00,13869.0,13880.25,13855.0,13875.75,6202,0.0,0.0
2021-02-16 07:00:00-05:00,13875.75,13881.25,13867.75,13877.25,4467,0.0,0.0
2021-02-16 08:00:00-05:00,13877.5,13879.75,13848.25,13851.75,10617,0.0,0.0
2021-02-16 09:00:00-05:00,13852.0,13868.5,13811.5,13853.0,86210,0.0,0.0
2021-02-16 10:00:00-05:00,13852.75,13875.5,13813.5,13833.5,89273,0.0,0.0
2021-02-16 11:00:00-05:00,13833.25,13838.5,13744.25,13750.25,88717,0.0,0.0
2021-02-16 12:00:00-05:00,13749.75,13791.5,13716.0,13789.75,65902,0.0,0.0
2021-02-16 13:00:00-05:00,13789.0,13803.25,13753.0,13754.75,37908,0.0,0.0
2021-02-16 14:00:00-05:00,13754.25,13797.5,13754.25,13773.75,31610,0.0,0.0
2021-02-16 15:00:00-05:00,13773.75,13786.5,13746.25,13764.25,60102,0.0,0.0
2021-02-16 16:00:00-05:00,13764.75,13770.25,13745.5,13755.25,11338,0.0,0.0
2021-02-16 18:00:00-05:00,13758.25,13765.75,13725.0,13731.5,0,0.0,0.0
2021-02-16 19:00:00-05:00,13731.5,13733.5,13704.75,13717.5,8817,0.0,0.0
2021-02-16 20:00:00-05:00,13717.25,13726.75,13694.0,13725.0,7373,0.0,0.0
2021-02-16 21:00:00-05:00,13724.5,13759.75,13719.25,13755.75,8179,0.0,0.0
2021-02-16 22:00:00-05:00,13755.75,13772.0,13747.75,13765.25,4409,0.0,0.0
2021-02-16 23:00:00-05:00,13765.25,13765.5,13755.25,13755.5,2557,0.0,0.0
2021-02-17 00:00:00-05:00,13755.0,13771.0,13755.0,13757.75,3054,0.0,0.0
2021-02-17 01:00:00-05:00,13758.25,13776.0,13755.5,13771.5,2978,0.0,0.0
2021-02-17 02:00:00-05:00,13772.25,13774.75,13752.0,13756.75,3741,0.0,0.0
2021-02-17 03:00:00-05:00,13756.5,13785.0,13728.75,13778.75,12095,0.0,0.0
2021-02-17 04:00:00-05:00,13778.75,13780.75,13733.0,13742.0,8722,0.0,0.0
2021-02-17 05:00:00-05:00,13742.25,13750.75,13734.25,13740.0,4371,0.0,0.0
2021-02-17 06:00:00-05:00,13740.0,13748.75,13732.0,13746.25,3741,0.0,0.0
2021-02-17 07:00:00-05:00,13746.25,13759.25,13734.0,13749.25,5706,0.0,0.0
2021-02-17 08:00:00-05:00,13748.5,13751.25,13659.75,13677.5,25684,0.0,0.0
2021-02-17 09:00:00-05:00,13676.5,13692.5,13610.75,13671.0,97798,0.0,0.0
2021-02-17 10:00:00-05:00,13671.25,13687.75,13577.75,13651.75,118128,0.0,0.0
